CUST_F_NAME,CUST_M_NAME,CUST_L_NAME,CUST_SSN,CUST_STREET,CUST_CITY,CUST_STATE,CUST_COUNTRY,CUST_ZIP,CUST_PHONE,CUST_EMAIL,APT_NO
aleshia,KIA,Tomkiewicz,202101, Taylor St,Berlin,capital of germany,Germany,101,9443699671,atomkiewicz@hotmail.com,203
evan,marie,Zigomalas,202102, Binney St,México D.F.,capital of Mexico,Mexico,102,1714737668,evan.zigomalas@gmail.com,204
france,je,Andrade,202103,Moor Place,México D.F.,capital of Mexico,Mexico,103,1935821636,france.andrade@hotmail.com,205
ulysses,ericson,Mcwalters,202104, Exeter Rd,London,capital of England,UK,104,1302601380,ulysses@hotmail.com,206
tyisha,kia,Veness,202105, Forth Street,Luleå,city in sweden,Sweden,105,1290367248,tyisha.veness@hotmail.com,207
eric,da,Rampy,202106, Lind St,Mannheim,city of germany,Germany,106,1545817375,erampy@rampy.co.uk,208
marg,aei,Grasmick,202107, Cowl St #70,Strasbourg,city of france,France,107,2162620532,marg@hotmail.com,209
laquita,vie,Hisaw,202108,Gloucester Pl #96,Madrid,capital of liberal state,Spain,108,5190982428,laquita@yahoo.com,210
Lura,da,Manzella,202109, Augustine St,Marseille,city of france,France,109,7865132321,lura@hotmail.com,211
Yuette,ge,Klapec,202110, Bradfield St #166,Tsawassen,part of canada,Canada,110,1335125135,yuette.klapec@klapec.co.uk,212
Fernanda,mie,Writer,202111, Northampton St,London,capital of England,UK,111,1687879391,fernanda@writer.co.uk,213
Charlesetta,nas,Erm,202112, Hygeia St,Buenos Aires,capital of Argentina,Argentina,112,1517624517,charlesetta_erm@gmail.com,214
Corrinne,na,Jaret,202113, Morley St,México D.F.,capital of Mexico,Mexico,113,1642322954,corrinne_jaret@gmail.com,215
Niesha,suz,Bruch,202114, Bolton St,Bern,city of switzerland,Switzerland,114,1342793603,niesha.bruch@yahoo.com,216
Rueben,pan,Gastellum,202115, Forrest St,São Paulo,municipality in brazil,Brazil,115,1956535511,rueben_gastellum@gastellum.co.uk,217
Michell,jaq,Throssell,202116, Noon St,London,capital of England,UK,116,1672496478,mthrossell@throssell.co.uk,218
Edgar,sqre,Kanne,202117, Guthrie St,Stuttgart,part of world,Germany,117,1666638176,edgar.kanne@yahoo.com,219
Dewitt,KIA,Julio,202118, Richmond St,Aachen,part of world,Germany,118,1241964675,dewitt.julio@hotmail.com,220
Charisse,marie,Spinello,202119,Primrose St,Nantes,part of world,France,119,1207428520,charisse_spinello@spinello.co.uk,221
Mee,je,Lapinski,202120, Pengwern St,London,capital of England,UK,120,1939815208,mee.lapinski@yahoo.com,222
Peter,ericson,Gutierres,202121, Tarlton St,Graz,part of world,Austria,121,1859648598,peter_gutierres@yahoo.com,223
Octavio,kia,Salvadore,202122,6949 Bourne St,São Paulo,part of world,Brazil,122,1743139456,octavio.salvadore@yahoo.com,224
Martha,da,Teplica,202123,148 Rembrandt St,Madrid,capital of liberal state,Spain,123,1583287367,mteplica@teplica.co.uk,225
Tamesha,aei,Veigel,202124,2200 Nelson St #58,Lille,part of world,France,124,1280786847,tveigel@veigel.co.uk,226
Tess,vie,Sitra,202125,61 Rossett St,Bräcke,city of sweden,Sweden,125,1848116775,tess_sitra@hotmail.com,227
Leonard,da,Kufner,202126,41 Canning St,Nantes,city of france,France,126,1604718601,lkufner@kufner.co.uk,228
Svetlana,ge,Tauras,202127,8289 Cadogan St,Torino,city of Italy,Italy,127,6159121140,svetlana_tauras@tauras.co.uk,229
Pok,mie,Molaison,202128,211 Hobart St,München,city of germany,Germany,128,1315284286,pok@yahoo.com,230
Augustine,nas,Growcock,202129,114 Falkland St #8845,Lisboa,city of portugal,Portugal,129,1926108010,augustine.growcock@growcock.co.uk,231
Karma,na,Quarto,202130,1 Birkett St,Barcelona,capital of liberal state,Spain,130,1307667811,kquarto@gmail.com,232
Reed,suz,Weisinger,202131,5147 Blackstone St,Sevilla,Part of earth,Spain,131,1292297245,reed_weisinger@yahoo.com,233
